Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NCarsGroup,NChildrenAtHomeGroup,TotalChildrenGroup,YearlyIncome,Age,AveMonthSpend,log_AveMonthSpend,BikeBuyer
Bachelors ,Management,M,S,0,>=3,>=1,1,180666,34.0,102,4.624972813284271,1
Partial College,Professional,F,S,0,>=3,>=1,>=5,107109,35.0,89,4.48863636973214,1
Partial College,Professional,M,M,1,>=3,>=1,>=5,125930,35.0,147,4.990432586778736,1
Partial College,Professional,M,S,1,>=3,>=1,2,122648,35.0,98,4.584967478670572,1
Bachelors ,Management,F,S,0,1-2,>=1,3,139518,35.0,73,4.290459441148391,1
Bachelors ,Management,M,M,1,>=3,>=1,2,171614,35.0,125,4.8283137373023015,1
Partial College,Professional,M,S,0,>=3,>=1,>=5,96014,36.0,127,4.844187086458591,1
Partial College,Professional,F,M,1,>=3,>=1,>=5,94807,36.0,93,4.532599493153256,0
Partial College,Professional,F,M,1,>=3,>=1,>=5,107719,36.0,95,4.553876891600541,0
Partial College,Professional,M,M,1,>=3,>=1,>=5,111322,36.0,145,4.976733742420574,1
High School,Professional,M,S,1,1-2,>=1,4,112533,36.0,119,4.77912349311153,1
High School,Professional,M,S,0,1-2,>=1,4,126830,36.0,129,4.859812404361672,1
Partial College,Professional,F,M,1,>=3,>=1,3,137642,36.0,88,4.477336814478207,1
High School,Professional,F,S,1,>=3,>=1,3,134161,36.0,77,4.343805421853684,1
Bachelors ,Management,F,S,0,1-2,>=1,3,139591,36.0,77,4.343805421853684,1
High School,Professional,M,S,1,1-2,No,2,98199,42.0,69,4.23410650459726,1
High School,Professional,M,S,1,1-2,No,2,88980,42.0,72,4.276666119016055,0
High School,Professional,M,M,1,1-2,>=1,4,83359,42.0,119,4.77912349311153,0
High School,Professional,F,M,1,1-2,>=1,2,98457,42.0,62,4.127134385045092,0
Partial High School,Skilled Manual,M,S,1,1-2,No,2,77382,43.0,72,4.276666119016055,0
Partial High School,Skilled Manual,M,S,0,1-2,No,2,94806,43.0,70,4.248495242049359,1
Partial College,Professional,F,M,1,1-2,No,3,57168,62.0,48,3.871201010907891,0
Partial College,Professional,F,S,1,1-2,No,3,45831,62.0,39,3.6635616461296463,0
Graduate Degree,Management,M,M,1,1-2,No,2,77828,62.0,67,4.204692619390966,0
Graduate Degree,Management,M,M,1,1-2,No,2,81173,62.0,68,4.219507705176107,0
Graduate Degree,Management,M,S,1,1-2,No,2,68960,62.0,55,4.007333185232471,0
Graduate Degree,Management,M,M,1,1-2,No,4,116351,62.0,70,4.248495242049359,0
Graduate Degree,Management,F,S,1,1-2,No,2,65916,61.0,42,3.7376696182833684,0
Partial College,Professional,F,S,0,>=3,>=1,>=5,108341,37.0,84,4.430816798843313,1
Partial College,Professional,F,M,1,>=3,>=1,3,95176,37.0,73,4.290459441148391,1
Partial College,Professional,F,M,0,1-2,>=1,3,105592,37.0,83,4.418840607796598,0
Partial College,Professional,F,M,1,>=3,>=1,3,126718,37.0,91,4.51085950651685,0
Partial College,Professional,M,S,1,>=3,>=1,3,161700,37.0,127,4.844187086458591,1
Partial College,Professional,M,S,0,>=3,>=1,3,152235,37.0,129,4.859812404361672,1
Partial High School,Skilled Manual,M,S,0,1-2,No,2,78393,43.0,72,4.276666119016055,0
Partial High School,Skilled Manual,M,S,0,1-2,No,3,85120,43.0,70,4.248495242049359,0
Partial High School,Skilled Manual,F,S,1,1-2,No,3,72122,43.0,50,3.912023005428146,0
Partial High School,Skilled Manual,F,S,0,1-2,No,2,77095,43.0,45,3.8066624897703196,0
Partial High School,Skilled Manual,F,S,1,1-2,No,2,71895,43.0,44,3.784189633918261,0
Partial High School,Skilled Manual,M,M,0,1-2,No,2,68915,43.0,72,4.276666119016055,0
Graduate Degree,Management,M,S,0,1-2,No,3,109771,44.0,77,4.343805421853684,0
Graduate Degree,Management,F,S,0,1-2,No,3,77049,44.0,49,3.8918202981106265,0
Graduate Degree,Management,F,M,1,1-2,No,3,89912,44.0,45,3.8066624897703196,0
Partial College,Professional,M,S,0,1-2,No,3,71694,46.0,69,4.23410650459726,0
High School,Professional,F,S,1,1-2,No,4,40694,48.0,46,3.828641396489095,0
High School,Professional,F,S,0,1-2,No,4,43989,48.0,42,3.7376696182833684,0
Bachelors ,Professional,M,S,1,1-2,>=1,3,91369,33.0,111,4.709530201312334,1
Bachelors ,Professional,F,M,1,>=3,>=1,4,78178,33.0,86,4.454347296253507,1
Bachelors ,Professional,F,S,1,>=3,>=1,4,91189,33.0,88,4.477336814478207,1
Bachelors ,Professional,F,M,1,>=3,>=1,>=5,96273,34.0,98,4.584967478670572,1
Bachelors ,Professional,M,S,1,1-2,>=1,3,97318,34.0,102,4.624972813284271,1
Bachelors ,Professional,F,M,0,No,>=1,2,108547,30.0,77,4.343805421853684,1
Bachelors ,Professional,M,M,0,No,>=1,4,129039,30.0,146,4.983606621708336,1
Graduate Degree,Management,M,S,1,No,No,No,152496,30.0,79,4.3694478524670215,0
Partial College,Skilled Manual,F,S,0,1-2,No,1,83729,35.0,47,3.8501476017100584,0
Bachelors ,Professional,M,S,1,1-2,No,1,103869,35.0,75,4.31748811353631,1
Bachelors ,Professional,F,S,0,1-2,No,1,95790,35.0,54,3.9889840465642745,1
Bachelors ,Professional,F,M,0,1-2,No,1,82278,35.0,52,3.9512437185814275,0
Partial College,Skilled Manual,M,M,0,1-2,No,1,100567,36.0,85,4.442651256490317,0
Bachelors ,Professional,F,M,0,1-2,No,1,74047,36.0,47,3.8501476017100584,0
Partial College,Skilled Manual,F,S,0,1-2,No,1,86482,37.0,51,3.9318256327243257,0
Partial College,Skilled Manual,F,S,1,1-2,No,1,79619,37.0,51,3.9318256327243257,1
Partial College,Skilled Manual,M,M,0,1-2,No,1,90933,37.0,82,4.406719247264253,1
Bachelors ,Professional,M,S,0,1-2,No,No,101370,33.0,76,4.330733340286331,1
Bachelors ,Professional,M,S,0,1-2,No,No,111304,34.0,75,4.31748811353631,1
Partial College,Skilled Manual,M,M,1,1-2,No,1,79710,35.0,78,4.356708826689592,1
Partial College,Skilled Manual,M,S,0,1-2,No,1,86195,36.0,71,4.2626798770413155,1
Bachelors ,Professional,F,S,1,1-2,No,2,115751,39.0,52,3.9512437185814275,1
Partial College,Skilled Manual,F,S,0,1-2,No,1,71165,40.0,48,3.871201010907891,0
Partial College,Skilled Manual,M,M,1,1-2,No,2,111009,41.0,79,4.3694478524670215,0
Partial College,Clerical,M,S,1,1-2,No,2,53642,44.0,67,4.204692619390966,0
High School,Skilled Manual,M,M,1,1-2,No,No,54806,21.0,67,4.204692619390966,0
High School,Skilled Manual,F,M,0,1-2,No,No,42425,21.0,45,3.8066624897703196,0
High School,Skilled Manual,M,M,1,1-2,No,No,50707,21.0,68,4.219507705176107,0
High School,Skilled Manual,F,M,0,1-2,No,No,52022,17.0,45,3.8066624897703196,0
High School,Skilled Manual,F,S,1,1-2,No,No,53977,17.0,43,3.7612001156935624,0
High School,Skilled Manual,F,M,0,1-2,No,No,40981,17.0,41,3.713572066704308,0
High School,Skilled Manual,M,M,1,1-2,No,No,59059,17.0,76,4.330733340286331,0
High School,Skilled Manual,F,M,1,1-2,No,No,43269,17.0,45,3.8066624897703196,0
Partial College,Clerical,F,M,0,1-2,No,2,43430,60.0,46,3.828641396489095,0
High School,Skilled Manual,M,S,0,1-2,No,No,58997,19.0,65,4.174387269895637,1
High School,Skilled Manual,M,S,0,1-2,No,No,50648,19.0,64,4.1588830833596715,0
High School,Skilled Manual,M,S,1,1-2,No,No,57692,19.0,61,4.110873864173311,1
High School,Skilled Manual,F,M,1,1-2,No,No,49691,19.0,47,3.8501476017100584,0
Partial High School,Clerical,F,S,0,1-2,No,No,49680,20.0,42,3.7376696182833684,0
Partial High School,Clerical,M,S,0,1-2,No,No,45778,20.0,62,4.127134385045092,1
High School,Skilled Manual,F,M,1,1-2,No,No,40156,20.0,48,3.871201010907891,0
Partial High School,Clerical,M,S,0,1-2,No,No,35357,18.0,60,4.0943445622221,0
High School,Skilled Manual,F,S,0,1-2,No,No,41113,18.0,43,3.7612001156935624,0
Bachelors ,Management,F,S,1,1-2,No,2,60601,58.0,40,3.6888794541139363,0
Bachelors ,Management,F,S,0,1-2,No,2,54979,58.0,41,3.713572066704308,0
Graduate Degree,Management,F,S,0,1-2,No,2,115491,58.0,43,3.7612001156935624,0
Bachelors ,Management,M,M,1,1-2,No,2,74043,57.0,71,4.2626798770413155,0
Bachelors ,Management,F,S,0,1-2,No,2,48038,54.0,41,3.713572066704308,0
Bachelors ,Management,F,S,0,1-2,No,2,64121,54.0,44,3.784189633918261,0
Bachelors ,Professional,M,S,1,1-2,No,No,64227,32.0,73,4.290459441148391,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,3,68417,32.0,117,4.762173934797756,1
Bachelors ,Skilled Manual,F,S,0,1-2,>=1,3,50147,32.0,68,4.219507705176107,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,3,72500,32.0,118,4.770684624465665,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,3,50480,32.0,72,4.276666119016055,1
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,4,61956,32.0,129,4.859812404361672,1
Graduate Degree,Professional,F,M,0,No,No,No,84098,32.0,50,3.912023005428146,0
Graduate Degree,Professional,F,S,0,1-2,No,No,107666,32.0,50,3.912023005428146,0
Graduate Degree,Professional,F,S,0,1-2,No,No,95523,32.0,50,3.912023005428146,1
Graduate Degree,Clerical,F,M,1,No,No,No,55392,29.0,48,3.871201010907891,0
Graduate Degree,Clerical,F,M,1,No,No,No,75369,29.0,49,3.8918202981106265,0
High School,Manual,M,S,1,1-2,>=1,3,24857,30.0,89,4.48863636973214,1
Partial College,Manual,M,S,0,1-2,>=1,1,18807,30.0,67,4.204692619390966,0
High School,Manual,F,S,1,1-2,>=1,1,23959,30.0,49,3.8918202981106265,1
Bachelors ,Clerical,M,S,0,No,>=1,1,70958,30.0,81,4.394449154672439,1
Bachelors ,Clerical,F,S,0,No,>=1,1,39962,30.0,54,3.9889840465642745,1
Bachelors ,Clerical,M,S,0,No,>=1,1,54641,30.0,79,4.3694478524670215,0
Partial High School,Manual,M,S,0,1-2,>=1,4,20677,31.0,100,4.605170185988092,1
Partial High School,Manual,M,M,1,1-2,>=1,4,14995,31.0,104,4.6443908991413725,1
High School,Manual,F,S,0,1-2,>=1,1,27084,31.0,45,3.8066624897703196,0
Bachelors ,Clerical,M,S,0,No,No,No,65481,30.0,72,4.276666119016055,0
Bachelors ,Clerical,M,M,0,No,No,No,76715,30.0,79,4.3694478524670215,1
High School,Manual,F,S,0,No,>=1,2,26137,31.0,52,3.9512437185814275,1
Partial High School,Manual,F,S,0,1-2,>=1,>=5,32086,32.0,66,4.189654742026425,1
High School,Manual,M,S,0,No,>=1,2,34207,32.0,85,4.442651256490317,1
High School,Manual,M,M,1,No,>=1,2,12553,32.0,78,4.356708826689592,1
High School,Manual,F,S,1,1-2,>=1,2,16107,32.0,56,4.02535169073515,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,53750,32.0,55,4.007333185232471,0
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,63228,32.0,58,4.060443010546419,0
Partial High School,Manual,M,M,1,1-2,>=1,>=5,26386,33.0,82,4.406719247264253,1
Partial High School,Manual,M,M,1,1-2,>=1,>=5,20438,33.0,90,4.499809670330265,1
High School,Manual,F,S,0,No,>=1,3,29875,33.0,59,4.07753744390572,0
Bachelors ,Skilled Manual,M,M,1,1-2,No,1,68038,64.0,58,4.060443010546419,0
Bachelors ,Professional,M,S,1,No,No,No,55022,31.0,71,4.2626798770413155,0
Bachelors ,Professional,M,S,0,No,No,No,70744,31.0,67,4.204692619390966,0
Bachelors ,Professional,F,S,1,No,No,No,55845,31.0,44,3.784189633918261,1
Partial College,Clerical,M,S,0,No,>=1,2,47252,34.0,90,4.499809670330265,1
Partial College,Clerical,M,M,1,No,>=1,2,44556,34.0,95,4.553876891600541,1
Partial College,Clerical,M,S,1,No,>=1,2,54758,34.0,88,4.477336814478207,1
Partial College,Clerical,F,S,1,1-2,>=1,2,41266,32.0,54,3.9889840465642745,1
Partial College,Clerical,F,S,0,1-2,>=1,2,56767,32.0,62,4.127134385045092,1
Partial College,Clerical,F,M,1,1-2,>=1,2,38659,33.0,65,4.174387269895637,0
Bachelors ,Skilled Manual,M,M,1,No,No,1,53606,33.0,74,4.30406509320417,1
Partial College,Clerical,M,M,1,1-2,>=1,2,59159,34.0,103,4.634728988229636,0
Partial College,Clerical,F,S,0,No,>=1,3,40723,34.0,67,4.204692619390966,0
High School,Manual,F,S,0,1-2,No,No,17992,19.0,41,3.713572066704308,1
High School,Manual,F,M,0,1-2,No,No,20406,20.0,47,3.8501476017100584,0
High School,Manual,F,M,0,1-2,No,No,17906,20.0,43,3.7612001156935624,0
High School,Manual,M,S,1,1-2,No,No,28151,20.0,59,4.07753744390572,1
High School,Manual,M,S,0,1-2,No,No,24420,20.0,57,4.04305126783455,0
Partial High School,Manual,M,M,1,1-2,No,No,15283,21.0,63,4.143134726391533,0
Partial College,Clerical,M,S,0,1-2,>=1,3,63164,19.0,102,4.624972813284271,1
Bachelors ,Skilled Manual,F,M,1,No,No,1,49381,34.0,49,3.8918202981106265,0
Bachelors ,Skilled Manual,M,M,1,No,No,1,59155,34.0,75,4.31748811353631,0
Bachelors ,Skilled Manual,F,M,1,No,No,1,40312,35.0,49,3.8918202981106265,0
Bachelors ,Skilled Manual,F,M,1,1-2,No,1,60141,35.0,52,3.9512437185814275,0
Partial College,Clerical,F,S,0,>=3,>=1,3,44027,19.0,67,4.204692619390966,1
Partial College,Clerical,F,S,0,>=3,>=1,>=5,35893,20.0,77,4.343805421853684,1
Partial College,Clerical,M,S,0,1-2,No,No,51273,20.0,66,4.189654742026425,0
Partial College,Clerical,M,S,0,1-2,No,No,49987,20.0,63,4.143134726391533,0
Partial College,Clerical,M,S,1,1-2,No,No,55710,20.0,58,4.060443010546419,0
Partial College,Clerical,M,S,0,1-2,No,No,45315,20.0,63,4.143134726391533,1
Partial College,Clerical,F,S,0,1-2,No,No,44096,20.0,41,3.713572066704308,0
Partial College,Clerical,F,S,1,1-2,No,No,52455,20.0,46,3.828641396489095,0
High School,Manual,M,S,0,1-2,No,No,22713,21.0,59,4.07753744390572,0
High School,Manual,M,S,0,1-2,No,No,34597,22.0,59,4.07753744390572,0
High School,Manual,F,S,0,1-2,No,No,33977,21.0,40,3.6888794541139363,0
Partial College,Clerical,M,S,1,1-2,No,No,72643,21.0,67,4.204692619390966,0
Partial College,Clerical,M,M,0,1-2,No,No,56163,21.0,70,4.248495242049359,0
Partial College,Clerical,M,S,0,1-2,No,No,53981,21.0,65,4.174387269895637,0
Partial College,Clerical,F,S,0,1-2,No,No,53019,21.0,46,3.828641396489095,0
Partial High School,Manual,F,S,1,1-2,No,No,15380,22.0,39,3.6635616461296463,0
Partial High School,Manual,M,S,0,1-2,No,No,18454,23.0,56,4.02535169073515,0
Partial College,Clerical,M,S,0,1-2,No,No,68822,22.0,68,4.219507705176107,1
Partial College,Clerical,M,S,0,1-2,No,No,58209,22.0,68,4.219507705176107,0
Partial College,Clerical,M,S,0,1-2,No,No,47862,22.0,64,4.1588830833596715,0
Partial High School,Manual,F,M,1,1-2,No,No,14860,24.0,45,3.8066624897703196,0
Graduate Degree,Manual,M,M,1,No,No,No,45014,27.0,74,4.30406509320417,0
Bachelors ,Manual,M,S,0,No,No,1,30177,35.0,67,4.204692619390966,1
Graduate Degree,Manual,F,M,0,No,No,1,38241,35.0,46,3.828641396489095,0
Bachelors ,Manual,F,S,0,No,No,1,36545,36.0,45,3.8066624897703196,0
Bachelors ,Manual,F,M,1,No,No,1,29490,36.0,46,3.828641396489095,0
Bachelors ,Manual,F,M,1,No,No,1,18479,36.0,44,3.784189633918261,0
Graduate Degree,Clerical,M,M,1,No,No,1,56351,36.0,74,4.30406509320417,0
Graduate Degree,Clerical,M,S,0,No,No,1,37162,62.0,53,3.970291913552122,0
Graduate Degree,Clerical,F,S,1,No,No,4,56662,35.0,45,3.8066624897703196,1
Graduate Degree,Clerical,F,M,0,No,No,1,28022,39.0,43,3.7612001156935624,0
Bachelors ,Manual,M,M,1,No,No,1,35173,39.0,62,4.127134385045092,0
Partial College,Manual,M,M,1,No,No,1,20516,40.0,62,4.127134385045092,0
Partial College,Manual,F,M,0,No,No,1,16427,40.0,45,3.8066624897703196,0
Partial College,Manual,M,M,1,No,No,2,29264,41.0,65,4.174387269895637,0
Bachelors ,Clerical,F,M,1,No,No,1,16487,41.0,42,3.7376696182833684,0
Bachelors ,Clerical,M,S,1,No,No,1,42300,41.0,69,4.23410650459726,0
Partial College,Manual,F,M,1,No,No,2,29750,42.0,45,3.8066624897703196,0
Partial College,Manual,F,M,1,No,No,2,27571,42.0,41,3.713572066704308,0
Partial College,Manual,F,M,1,No,No,2,21635,42.0,39,3.6635616461296463,0
Partial College,Manual,F,M,0,1-2,No,2,27880,43.0,46,3.828641396489095,0
Partial College,Manual,M,S,0,1-2,No,2,19476,43.0,62,4.127134385045092,0
Bachelors ,Clerical,F,M,1,No,No,1,27504,59.0,39,3.6635616461296463,0
Bachelors ,Clerical,M,S,0,No,No,1,33672,58.0,54,3.9889840465642745,0
Bachelors ,Clerical,M,S,1,No,No,1,38715,57.0,58,4.060443010546419,0
Partial College,Manual,M,S,0,1-2,No,2,32659,56.0,57,4.04305126783455,0
Bachelors ,Clerical,M,M,1,No,No,1,62570,56.0,70,4.248495242049359,0
Partial College,Manual,F,S,1,1-2,No,3,18378,54.0,39,3.6635616461296463,0
Partial College,Manual,M,S,0,1-2,No,No,25025,17.0,59,4.07753744390572,0
Partial College,Manual,M,S,1,1-2,No,No,18548,17.0,55,4.007333185232471,0
Partial College,Manual,F,M,1,1-2,No,No,34314,18.0,42,3.7376696182833684,0
High School,Manual,F,S,1,No,>=1,1,24784,21.0,44,3.784189633918261,0
Bachelors ,Clerical,M,M,0,No,No,No,36862,18.0,68,4.219507705176107,0
Bachelors ,Clerical,F,S,1,No,No,No,24356,19.0,40,3.6888794541139363,0
Bachelors ,Clerical,F,M,0,No,No,No,23433,19.0,39,3.6635616461296463,0
Bachelors ,Clerical,M,S,1,No,No,No,33501,19.0,61,4.110873864173311,0
Partial College,Manual,M,S,1,No,No,No,20629,20.0,58,4.060443010546419,0
Partial College,Manual,F,S,0,1-2,No,2,20467,54.0,32,3.4657359027997265,0
Partial College,Manual,F,S,0,No,>=1,1,15955,36.0,46,3.828641396489095,0
Graduate Degree,Clerical,F,M,0,No,No,4,74154,36.0,57,4.04305126783455,0
Graduate Degree,Clerical,F,M,1,No,No,4,65962,36.0,46,3.828641396489095,0
Graduate Degree,Clerical,M,S,0,No,No,4,74378,36.0,73,4.290459441148391,1
High School,Manual,F,S,0,1-2,>=1,1,10165,37.0,47,3.8501476017100584,0
High School,Manual,M,S,1,1-2,>=1,1,16620,37.0,72,4.276666119016055,1
Partial College,Manual,M,S,0,No,>=1,1,32749,37.0,73,4.290459441148391,0
High School,Manual,F,S,0,1-2,>=1,1,15807,38.0,45,3.8066624897703196,0
Partial College,Manual,F,S,1,1-2,No,2,28943,38.0,39,3.6635616461296463,0
Partial College,Manual,M,S,0,1-2,No,2,28244,38.0,61,4.110873864173311,0
Partial College,Manual,M,S,0,1-2,No,2,17712,38.0,60,4.0943445622221,0
Partial College,Manual,F,S,0,1-2,No,2,21964,38.0,38,3.6375861597263857,0
Graduate Degree,Clerical,M,S,1,No,No,3,75621,38.0,78,4.356708826689592,1
Partial College,Manual,M,S,0,1-2,No,2,18024,39.0,60,4.0943445622221,0
Graduate Degree,Clerical,F,M,0,No,No,1,53483,39.0,52,3.9512437185814275,0
Graduate Degree,Clerical,F,S,1,No,No,3,47874,37.0,50,3.912023005428146,0
Bachelors ,Clerical,F,S,1,No,No,No,49051,38.0,43,3.7612001156935624,0
Bachelors ,Clerical,M,S,1,No,No,No,57531,38.0,70,4.248495242049359,1
Partial College,Manual,M,S,0,1-2,No,No,27256,27.0,57,4.04305126783455,0
Partial College,Manual,M,S,0,1-2,No,No,13476,27.0,53,3.970291913552122,0
Partial College,Manual,F,M,0,1-2,No,No,11803,27.0,41,3.713572066704308,0
High School,Manual,F,S,0,No,>=1,2,25626,28.0,62,4.127134385045092,1
Bachelors ,Clerical,M,S,0,No,No,No,61807,27.0,68,4.219507705176107,0
Partial College,Manual,M,S,0,1-2,No,No,17909,28.0,59,4.07753744390572,0
Graduate Degree,Clerical,F,M,1,No,No,No,60401,28.0,53,3.970291913552122,0
Graduate Degree,Clerical,M,S,0,No,No,No,80782,28.0,74,4.30406509320417,0
Graduate Degree,Skilled Manual,F,M,1,No,No,No,86582,28.0,50,3.912023005428146,1
Graduate Degree,Skilled Manual,M,S,1,No,No,No,108259,28.0,76,4.330733340286331,0
Graduate Degree,Skilled Manual,F,M,1,No,No,No,93473,28.0,58,4.060443010546419,0
High School,Manual,M,S,1,1-2,>=1,2,13507,44.0,64,4.1588830833596715,1
High School,Manual,M,S,0,1-2,>=1,2,19959,29.0,81,4.394449154672439,1
Partial College,Manual,F,M,0,No,>=1,1,25725,29.0,52,3.9512437185814275,0
Partial College,Manual,M,S,0,1-2,>=1,1,20869,29.0,70,4.248495242049359,0
Bachelors ,Clerical,M,S,0,No,No,1,75563,29.0,66,4.189654742026425,0
Bachelors ,Clerical,M,M,1,No,No,1,50494,29.0,72,4.276666119016055,0
Bachelors ,Professional,F,M,0,1-2,>=1,3,82408,32.0,82,4.406719247264253,0
Bachelors ,Professional,F,S,1,1-2,No,No,93844,29.0,48,3.871201010907891,0
Bachelors ,Professional,F,M,1,1-2,>=1,3,80221,33.0,74,4.30406509320417,0
Bachelors ,Professional,M,S,0,1-2,No,1,70877,71.0,53,3.970291913552122,0
Partial High School,Manual,M,S,0,1-2,No,No,15876,24.0,55,4.007333185232471,0
Partial High School,Manual,F,S,0,1-2,No,No,22940,24.0,42,3.7376696182833684,1
Partial College,Clerical,F,M,0,1-2,No,No,41694,23.0,45,3.8066624897703196,0
Partial College,Clerical,F,S,1,1-2,No,No,41812,23.0,49,3.8918202981106265,0
Partial College,Clerical,M,S,0,1-2,No,No,50743,23.0,65,4.174387269895637,0
Partial High School,Manual,M,M,1,1-2,No,No,21426,17.0,60,4.0943445622221,0
Partial High School,Manual,F,M,1,1-2,No,No,16649,17.0,42,3.7376696182833684,0
Partial High School,Manual,F,S,0,1-2,No,No,10929,17.0,41,3.713572066704308,0
Partial High School,Manual,F,S,0,1-2,No,No,21746,17.0,39,3.6635616461296463,0
Bachelors ,Skilled Manual,F,M,1,No,>=1,1,40535,23.0,56,4.02535169073515,0
Partial High School,Manual,M,S,1,1-2,No,No,18315,25.0,53,3.970291913552122,0
Partial High School,Manual,M,S,1,1-2,No,No,18631,25.0,61,4.110873864173311,0
Partial High School,Manual,F,S,0,1-2,No,No,24055,25.0,44,3.784189633918261,0
Bachelors ,Skilled Manual,F,M,1,No,>=1,1,45434,24.0,53,3.970291913552122,0
Bachelors ,Skilled Manual,F,M,1,No,>=1,1,35204,24.0,50,3.912023005428146,0
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,64638,24.0,60,4.0943445622221,1
Bachelors ,Skilled Manual,F,M,1,1-2,>=1,1,45769,24.0,50,3.912023005428146,0
Bachelors ,Skilled Manual,M,M,1,1-2,>=1,1,59630,24.0,88,4.477336814478207,0
Partial High School,Manual,F,S,0,1-2,No,No,22746,25.0,44,3.784189633918261,0
High School,Manual,M,M,0,1-2,No,No,53549,25.0,78,4.356708826689592,0
High School,Manual,F,S,1,1-2,No,No,33498,25.0,45,3.8066624897703196,0
Partial High School,Manual,M,S,0,1-2,No,No,15686,26.0,51,3.9318256327243257,1
Partial College,Clerical,M,S,1,1-2,>=1,1,59351,25.0,77,4.343805421853684,0
Partial College,Clerical,F,S,1,No,>=1,2,49849,25.0,59,4.07753744390572,1
Partial High School,Manual,M,S,0,1-2,No,No,17068,26.0,62,4.127134385045092,0
Partial High School,Manual,M,S,0,1-2,No,No,11070,26.0,56,4.02535169073515,0
Partial High School,Manual,F,S,0,1-2,No,No,13770,26.0,42,3.7376696182833684,0
Partial College,Clerical,F,M,1,No,>=1,2,33364,27.0,58,4.060443010546419,0
Partial College,Clerical,M,M,1,1-2,>=1,2,46362,26.0,95,4.553876891600541,1
Partial College,Clerical,F,S,0,1-2,>=1,2,47112,26.0,58,4.060443010546419,1
Partial College,Clerical,F,S,0,1-2,>=1,3,45140,23.0,63,4.143134726391533,0
Partial College,Clerical,M,M,1,1-2,>=1,3,65731,23.0,116,4.7535901911063645,0
Partial College,Clerical,M,S,1,1-2,>=1,3,63337,23.0,99,4.59511985013459,1
Graduate Degree,Skilled Manual,F,S,1,No,No,No,50482,23.0,47,3.8501476017100584,0
Partial College,Clerical,F,S,0,1-2,>=1,3,53805,22.0,68,4.219507705176107,1
Graduate Degree,Skilled Manual,F,S,0,No,No,No,123495,31.0,56,4.02535169073515,0
Graduate Degree,Skilled Manual,F,S,0,No,No,No,105838,31.0,51,3.9318256327243257,1
Partial High School,Manual,F,S,0,1-2,No,2,19603,43.0,40,3.6888794541139363,0
Partial High School,Clerical,F,S,0,1-2,No,3,15102,43.0,35,3.5553480614894135,0
High School,Clerical,M,M,1,1-2,No,1,54766,43.0,71,4.2626798770413155,0
High School,Clerical,F,M,1,1-2,No,1,48521,43.0,47,3.8501476017100584,0
High School,Clerical,M,S,0,1-2,No,1,46220,43.0,66,4.189654742026425,0
Partial College,Clerical,M,M,1,1-2,No,1,57455,43.0,70,4.248495242049359,0
Partial College,Clerical,F,M,1,1-2,No,1,36710,43.0,46,3.828641396489095,0
Partial High School,Clerical,M,S,0,1-2,No,3,30538,42.0,58,4.060443010546419,0
Partial High School,Clerical,M,S,0,1-2,No,3,22851,42.0,60,4.0943445622221,0
Partial High School,Clerical,F,S,0,1-2,No,3,19308,42.0,39,3.6635616461296463,0
Partial High School,Clerical,F,S,0,1-2,No,3,17481,42.0,36,3.58351893845611,0
Partial High School,Clerical,F,S,1,1-2,No,3,11739,42.0,37,3.6109179126442243,0
Partial High School,Clerical,M,S,0,1-2,No,3,18813,42.0,54,3.9889840465642745,0
Partial High School,Clerical,F,S,0,1-2,No,3,24902,42.0,41,3.713572066704308,0
Partial High School,Clerical,F,S,0,1-2,No,3,12484,42.0,37,3.6109179126442243,0
High School,Clerical,M,M,1,1-2,No,1,49886,42.0,69,4.23410650459726,0
High School,Clerical,F,S,0,1-2,No,1,47812,42.0,43,3.7612001156935624,0
High School,Clerical,F,S,0,1-2,No,1,46403,42.0,39,3.6635616461296463,0
Partial High School,Clerical,F,S,0,1-2,No,3,24934,41.0,40,3.6888794541139363,1
Partial High School,Clerical,M,M,0,1-2,No,3,28570,41.0,67,4.204692619390966,0
Partial High School,Clerical,F,S,0,1-2,No,3,16284,41.0,44,3.784189633918261,0
Partial High School,Clerical,M,S,0,1-2,No,3,30993,41.0,56,4.02535169073515,0
Partial High School,Clerical,M,S,0,1-2,No,3,27806,41.0,66,4.189654742026425,0
Partial High School,Clerical,M,S,0,1-2,No,3,22635,41.0,59,4.07753744390572,0
Partial High School,Clerical,M,S,0,1-2,No,3,17905,41.0,63,4.143134726391533,0
High School,Skilled Manual,M,M,0,1-2,No,2,52579,41.0,74,4.30406509320417,0
High School,Skilled Manual,F,M,0,1-2,No,2,40719,41.0,47,3.8501476017100584,0
High School,Skilled Manual,M,S,1,1-2,No,2,59194,41.0,67,4.204692619390966,1
High School,Skilled Manual,M,S,1,1-2,No,2,38570,41.0,68,4.219507705176107,0
High School,Skilled Manual,M,M,1,1-2,No,2,53615,41.0,76,4.330733340286331,0
